model_name,xg_bin,n_shots,mean_pred_xg,observed_goal_rate
baseline,"(-0.000789, 0.0218]",894,0.015932810298233267,0.02237136465324385
baseline,"(0.0218, 0.0314]",884,0.026708824661394282,0.020361990950226245
baseline,"(0.0314, 0.0433]",888,0.03703060272903962,0.03153153153153153
baseline,"(0.0433, 0.0583]",891,0.050571063761743584,0.031425364758698095
baseline,"(0.0583, 0.075]",885,0.06673025279557471,0.05423728813559322
baseline,"(0.075, 0.0927]",888,0.08362014617141204,0.09684684684684684
baseline,"(0.0927, 0.119]",893,0.10516253921250444,0.09742441209406495
baseline,"(0.119, 0.155]",886,0.1357593255365446,0.15011286681715574
baseline,"(0.155, 0.237]",885,0.18801130161487467,0.20225988700564973
baseline,"(0.237, 0.981]",887,0.4320272141291736,0.4069898534385569
skill_aware,"(-0.00078, 0.0212]",889,0.015565376237078956,0.02249718785151856
skill_aware,"(0.0212, 0.0309]",888,0.02619811609446825,0.024774774774774775
skill_aware,"(0.0309, 0.0427]",888,0.03651981862097088,0.019144144144144143
skill_aware,"(0.0427, 0.057]",888,0.049678444055484855,0.04504504504504504
skill_aware,"(0.057, 0.0738]",888,0.06549552180076612,0.04954954954954955
skill_aware,"(0.0738, 0.093]",888,0.08276518207569,0.08333333333333333
skill_aware,"(0.093, 0.118]",888,0.10503697391387011,0.10135135135135136
skill_aware,"(0.118, 0.156]",888,0.13518003407563103,0.16328828828828829
skill_aware,"(0.156, 0.239]",888,0.19049473934623606,0.20157657657657657
skill_aware,"(0.239, 0.983]",888,0.43547916456089486,0.40202702702702703
form_aware,"(-0.000797, 0.0214]",889,0.015441155846937483,0.025871766029246346
form_aware,"(0.0214, 0.031]",888,0.02627448938030184,0.021396396396396396
form_aware,"(0.031, 0.043]",888,0.036675520893471744,0.021396396396396396
form_aware,"(0.043, 0.0577]",888,0.05010399936495879,0.04504504504504504
form_aware,"(0.0577, 0.0746]",888,0.06598582037300635,0.04842342342342342
form_aware,"(0.0746, 0.093]",888,0.08336167798095727,0.08671171171171171
form_aware,"(0.093, 0.119]",888,0.10487322911138135,0.10585585585585586
form_aware,"(0.119, 0.156]",888,0.13537701913847608,0.1554054054054054
form_aware,"(0.156, 0.238]",888,0.189758049668315,0.19932432432432431
form_aware,"(0.238, 0.986]",888,0.433971840430902,0.40315315315315314
combined,"(-0.000795, 0.0211]",889,0.015336707380279644,0.02249718785151856
combined,"(0.0211, 0.0307]",888,0.026091770376128122,0.02364864864864865
combined,"(0.0307, 0.0425]",888,0.03638508608052396,0.019144144144144143
combined,"(0.0425, 0.057]",888,0.04955346162314633,0.04504504504504504
combined,"(0.057, 0.074]",888,0.06528781498645961,0.0472972972972973
combined,"(0.074, 0.0926]",888,0.08291590470923826,0.09121621621621621
combined,"(0.0926, 0.118]",888,0.10474911997012863,0.10472972972972973
combined,"(0.118, 0.157]",888,0.13538901566902345,0.15090090090090091
combined,"(0.157, 0.24]",888,0.19092592881323908,0.20495495495495494
combined,"(0.24, 0.986]",888,0.4359763732996874,0.40315315315315314
